name,birthday,nationality
Tom Hanks,1956-07-09,USA
Meryl Streep,1949-06-22,USA
Leonardo DiCaprio,1974-11-11,USA
Julia Roberts,1967-10-28,USA
Brad Pitt,1963-12-18,USA
Johnny Depp,1963-06-09,USA
Angelina Jolie,1975-06-04,USA
Denzel Washington,1954-12-28,USA
Robert Downey Jr.,1965-04-04,USA
Jennifer Lawrence,1990-08-15,USA
Scarlett Johansson,1984-11-22,USA
Will Smith,1968-09-25,USA
Emma Stone,1988-11-06,USA
George Clooney,1961-05-06,USA
Nicole Kidman,1967-06-20,Australia
Hugh Jackman,1968-10-12,Australia
Cate Blanchett,1969-05-14,Australia
Russell Crowe,1964-04-07,Australia
Heath Ledger,1979-04-04,Australia
Chris Hemsworth,1983-08-11,Australia
Margot Robbie,1990-07-02,Australia
Liam Neeson,1952-06-07,Ireland
Colin Farrell,1976-05-31,Ireland
Pierce Brosnan,1953-05-16,Ireland
Saoirse Ronan,1994-04-12,Ireland
Michael Fassbender,1977-04-02,Ireland
Liam Hemsworth,1990-01-13,Australia
Natalie Portman,1981-06-09,Israel
Gal Gadot,1985-04-30,Israel
Mila Kunis,1983-08-14,Ukraine
Daniel Craig,1968-03-02,UK
Emma Watson,1990-04-15,UK
Christian Bale,1974-01-30,UK
Tom Hardy,1977-09-15,UK
Kate Winslet,1975-10-05,UK
Judi Dench,1934-12-09,UK
Ian McKellen,1939-05-25,UK
Sean Connery,1930-08-25,UK
Anthony Hopkins,1937-12-31,UK
Benedict Cumberbatch,1976-07-19,UK
Keira Knightley,1985-03-26,UK
Daniel Radcliffe,1989-07-23,UK
Ralph Fiennes,1962-12-22,UK
Emma Thompson,1959-04-15,UK
Kristen Stewart,1990-04-09,USA
Robert Pattinson,1986-05-13,UK
Taylor Lautner,1992-02-11,USA
Keanu Reeves,1964-09-02,Canada
Jim Carrey,1962-01-17,Canada
